county,n_locations,mean_capacity_2023,mean_capacity_2026,mean_capacity_change,pct_improved_capacity,pct_no_center_2023,pct_no_center_2026,mean_quality_2023,mean_quality_2026,mean_quality_change,pct_improved_quality,pct_persistent_low
All WNC counties,41078,0.4996591849651885,0.6418033984127758,0.14214421344758646,0.7707045133648182,0.024173523540581332,0.02427089926481328,0.41408539851015147,0.5260041871561416,0.11191878864599242,0.7504503627245728,0.08671308242855057
Avery,631,0.501687389902944,0.5761694404561458,0.07448205055320167,0.7654516640253566,0.07290015847860538,0.07131537242472266,0.4517963002737114,0.5163321478661181,0.06453584759240667,0.7765451664025357,0.12678288431061807
Buncombe,12270,0.5169916913839082,0.6932069182491192,0.17621522686521127,0.962917685411573,0.005134474327628362,0.004645476772616137,0.4110076903539781,0.5502590718859145,0.13925138153193573,0.9491442542787286,0.07074164629176855
Burke,4247,0.4973503891087116,0.6933055515881456,0.19595516247943395,0.9891688250529785,0.006828349423122204,0.006592889098186955,0.44550134978911843,0.6289559867321476,0.18345463694302927,0.9886979044031081,0.04756298563692018
Cherokee,1182,0.4434340870654603,0.579819413469221,0.13638532640376083,0.8401015228426396,0.05922165820642978,0.06260575296108291,0.39486617473565994,0.4696245559423512,0.07475838120669148,0.6522842639593909,0.12774957698815567
Clay,472,0.8282727656192106,0.8006956335245142,-0.02757713209469631,0.3559322033898305,0.01694915254237288,0.01694915254237288,0.6411674399825423,0.7009823297767459,0.05981488979420365,0.7161016949152542,0.029661016949152543
Graham,415,0.6008776736875077,0.6126419318246418,0.011764258137134654,0.7951807228915663,0.0746987951807229,0.08433734939759036,0.5297434801053286,0.5752761400266624,0.04553265992133358,0.8072289156626506,0.10843373493975904
Haywood,2741,0.548346423779302,0.6623943340231092,0.1140479102438073,0.9157241882524626,0.022619481940897482,0.014228383801532287,0.4189541130563271,0.485482015126126,0.06652790206979914,0.8456767603064574,0.0733309011309741
Henderson,5137,0.42055255840854744,0.7876762899268621,0.36712373151831434,0.9780027253260658,0.0035039906560249173,0.003698656803581857,0.32868984378886923,0.6189408341931767,0.2902509904043074,0.9758613977029394,0.028810589838427096
Jackson,1842,0.6552835693147769,0.5496163044382522,-0.1056672648765249,0.1970684039087948,0.048317046688382194,0.05591748099891422,0.4912771004580868,0.43410181868890535,-0.05717528176918135,0.19218241042345277,0.0993485342019544
Macon,1616,0.7297629135729683,0.9422302147359085,0.21246730116293994,0.8273514851485149,0.03650990099009901,0.037747524752475246,0.6294283218287493,0.814528675679396,0.18510035385064655,0.838490099009901,0.0625
Madison,901,0.23975121248929696,0.2187828791653698,-0.020968333323927345,0.22641509433962265,0.16204217536071033,0.16870144284128746,0.19835165619707673,0.1865668184117088,-0.011784837785367845,0.21864594894561598,0.31853496115427304
McDowell,2121,0.5261000017535082,0.7180312679173283,0.19193126616382006,0.9688826025459689,0.015558698727015558,0.015558698727015558,0.493479429912952,0.6280894601029805,0.1346100301900289,0.9471947194719472,0.07119283356907119
Mitchell,667,0.43765766007770773,0.5175531572223658,0.0798954971446579,0.848575712143928,0.12443778110944528,0.10794602698650675,0.3591548478567756,0.41011157220426253,0.05095672434748702,0.8320839580209896,0.22038980509745126
Polk,731,0.27970480286335725,0.44930684061559006,0.16960203775223287,0.813953488372093,0.013679890560875513,0.01094391244870041,0.26684137933541296,0.4081594578670356,0.14131807853162257,0.8235294117647058,0.20109439124487005
Rutherford,3096,0.47116928905394834,0.44224384747937856,-0.028925441574569076,0.1960594315245478,0.00516795865633075,0.005490956072351421,0.42585874706248655,0.378329118040837,-0.047529629021649866,0.0998062015503876,0.11531007751937984
Swain,774,0.534339997505326,0.48391874536536855,-0.0504212521399575,0.11886304909560723,0.1343669250645995,0.1330749354005168,0.41596321057008423,0.3573102078321469,-0.05865300273793713,0.1847545219638243,0.18992248062015504
Transylvania,1356,0.38231834757069566,0.3067450900910591,-0.07557325747963656,0.10766961651917405,0.022861356932153392,0.035398230088495575,0.3632034486662907,0.2949076350811655,-0.06829581358512508,0.09587020648967552,0.0943952802359882
Yancey,879,0.3635130995716923,0.3213192807721115,-0.04219381879958082,0.19340159271899887,0.1080773606370876,0.1080773606370876,0.2827757464788596,0.21364920519501562,-0.06912654128384386,0.07167235494880546,0.23321956769055746
